Year,Month,Day,Area,Category
1973,5,15,0.8274,3
1973,5,16,0.8956,4
1973,5,17,0.9638,4
1973,5,18,0.968,4
1973,5,19,0.8998,4
1973,5,20,0.8316,5
1973,5,21,0.7634,5
1973,5,22,0.6951,5
1973,5,23,0.6269,5
1973,5,24,0.5587,6
1973,5,25,0.4905,6
1973,5,26,0.4223,7
1973,5,27,0.3541,7
1973,5,28,0.2859,7
1973,5,29,0.2176,7
1973,5,30,0.1494,7
1973,5,31,0.0812,0
1973,6,1,0.013,0
1973,6,2,0.0553,0
1973,6,3,0.1235,0
1973,6,4,0.1918,1
1973,6,5,0.2601,1
1973,6,6,0.3284,1
1973,6,7,0.3966,2
1973,6,8,0.4649,2
1973,6,9,0.5332,3
1973,6,10,0.6014,3
1973,6,11,0.6697,3
1973,6,12,0.738,3
1973,6,13,0.8063,3
1973,6,14,0.8745,3
1973,6,15,0.9428,4
1973,6,16,0.9889,4
1973,6,17,0.9207,4
1973,6,18,0.8524,5
1973,6,19,0.7841,5
1973,6,20,0.7158,5
1973,6,21,0.6476,5
1973,6,22,0.5793,6
1973,6,23,0.511,6
1973,6,24,0.4428,7
1973,6,25,0.3745,7
1973,6,26,0.3062,7
1973,6,27,0.2379,7
1973,6,28,0.1697,7
1973,6,29,0.1014,0
1973,6,30,0.0331,0
1973,7,1,0.0351,0
1973,7,2,0.1034,0
1973,7,3,0.1716,1
1973,7,4,0.2399,1
1973,7,5,0.3081,1
1973,7,6,0.3764,2
1973,7,7,0.4446,2
1973,7,8,0.5129,2
1973,7,9,0.5811,3
1973,7,10,0.6493,3
1973,7,11,0.7176,3
1973,7,12,0.7858,3
1973,7,13,0.8541,3
1973,7,14,0.9223,4
1973,7,15,0.9906,4
1973,7,16,0.9412,4
1973,7,17,0.8729,5
1973,7,18,0.8047,5
1973,7,19,0.7364,5
1973,7,20,0.6682,5
1973,7,21,0.5999,6
1973,7,22,0.5317,6
1973,7,23,0.4634,7
1973,7,24,0.3952,7
1973,7,25,0.327,7
1973,7,26,0.2587,7
1973,7,27,0.1905,7
1973,7,28,0.1222,0
1973,7,29,0.054,0
1973,7,30,0.0143,0
1973,7,31,0.0824,0
1973,8,1,0.1505,1
1973,8,2,0.2187,1
1973,8,3,0.2868,1
1973,8,4,0.3549,1
1973,8,5,0.4231,2
1973,8,6,0.4912,2
1973,8,7,0.5594,3
1973,8,8,0.6275,3
1973,8,9,0.6956,3
1973,8,10,0.7638,3
1973,8,11,0.8319,3
1973,8,12,0.9001,4
1973,8,13,0.9682,4
1973,8,14,0.9637,4
1973,8,15,0.8955,4
1973,8,16,0.8274,5
1973,8,17,0.7592,5
1973,8,18,0.6911,5
1973,8,19,0.623,6
1973,8,20,0.5548,6
1973,8,21,0.4867,6
1973,8,22,0.4185,7
1973,8,23,0.3504,7
1973,8,24,0.2823,7
1973,8,25,0.2141,7
1973,8,26,0.146,7
1973,8,27,0.0779,0
1973,8,28,0.0097,0
1973,8,29,0.0583,0
1973,8,30,0.1262,1
1973,8,31,0.1941,1
1973,9,1,0.2621,1
1973,9,2,0.33,1
1973,9,3,0.398,2
1973,9,4,0.4659,2
1973,9,5,0.5339,3
1973,9,6,0.6018,3
1973,9,7,0.6697,3
1973,9,8,0.7377,3
1973,9,9,0.8056,3
1973,9,10,0.8736,3
1973,9,11,0.9415,4
1973,9,12,0.9905,4
1973,9,13,0.9226,4
1973,9,14,0.8547,5
1973,9,15,0.7867,5
1973,9,16,0.7188,5
1973,9,17,0.6508,5
1973,9,18,0.5829,6
1973,9,19,0.5149,6
1973,9,20,0.447,7
1973,9,21,0.3791,7
1973,9,22,0.3111,7
1973,9,23,0.2432,7
1973,9,24,0.1752,7
1973,9,25,0.1073,0
1973,9,26,0.0393,0
1973,9,27,0.0285,0
1973,9,28,0.0961,0
1973,9,29,0.1638,1
1973,9,30,0.2315,1
1973,10,1,0.2991,1
1973,10,2,0.3668,1
1973,10,3,0.4345,2
1973,10,4,0.5021,2
1973,10,5,0.5698,3
1973,10,6,0.6375,3
1973,10,7,0.7051,3
1973,10,8,0.7728,3
1973,10,9,0.8405,3
1973,10,10,0.9081,4
1973,10,11,0.9758,4
1973,10,12,0.9565,4
1973,10,13,0.8889,4
1973,10,14,0.8212,5
1973,10,15,0.7535,5
1973,10,16,0.6859,5
1973,10,17,0.6182,6
1973,10,18,0.5506,6
1973,10,19,0.4829,6
1973,10,20,0.4152,7
1973,10,21,0.3476,7
1973,10,22,0.2799,7
1973,10,23,0.2122,7
1973,10,24,0.1446,7
1973,10,25,0.0769,0
1973,10,26,0.0092,0
1973,10,27,0.0582,0
1973,10,28,0.1255,1
1973,10,29,0.1929,1
1973,10,30,0.2602,1
1973,10,31,0.3276,1
1973,11,1,0.3949,2
1973,11,2,0.4623,2
1973,11,3,0.5296,3
1973,11,4,0.597,3
1973,11,5,0.6644,3
1973,11,6,0.7317,3
1973,11,7,0.7991,3
1973,11,8,0.8664,3
1973,11,9,0.9338,4
1973,11,10,0.9989,4
1973,11,11,0.9315,4
1973,11,12,0.8642,5
1973,11,13,0.7968,5
1973,11,14,0.7294,5
1973,11,15,0.6621,5
1973,11,16,0.5947,6
1973,11,17,0.5274,6
1973,11,18,0.46,7
1973,11,19,0.3927,7
1973,11,20,0.3253,7
1973,11,21,0.258,7
1973,11,22,0.1906,7
1973,11,23,0.1233,0
1973,11,24,0.0559,0
1973,11,25,0.0114,0
1973,11,26,0.0785,0
1973,11,27,0.1456,1
1973,11,28,0.2128,1
1973,11,29,0.2799,1
1973,11,30,0.347,1
1973,12,1,0.4141,2
1973,12,2,0.4812,2
1973,12,3,0.5483,3
1973,12,4,0.6154,3
1973,12,5,0.6826,3
1973,12,6,0.7497,3
1973,12,7,0.8168,3
1973,12,8,0.8839,4
1973,12,9,0.951,4
1973,12,10,0.9819,4
1973,12,11,0.9148,4
1973,12,12,0.8476,5
1973,12,13,0.7805,5
1973,12,14,0.7134,5
1973,12,15,0.6463,5
1973,12,16,0.5792,6
1973,12,17,0.5121,6
1973,12,18,0.445,7
1973,12,19,0.3778,7
1973,12,20,0.3107,7
1973,12,21,0.2436,7
1973,12,22,0.1765,7
1973,12,23,0.1094,0
1973,12,24,0.0423,0
1973,12,25,0.0248,0
1973,12,26,0.0919,0
1973,12,27,0.1589,1
1973,12,28,0.226,1
1973,12,29,0.293,1
1973,12,30,0.3601,1
1973,12,31,0.4271,2
1974,1,1,0.4941,2
1974,1,2,0.5612,3
1974,1,3,0.6282,3
1974,1,4,0.6953,3
1974,1,5,0.7623,3
1974,1,6,0.8294,3
1974,1,7,0.8964,4
1974,1,8,0.9635,4
1974,1,9,0.9695,4
1974,1,10,0.9024,4
1974,1,11,0.8354,5
1974,1,12,0.7683,5
1974,1,13,0.7013,5
1974,1,14,0.6342,5
1974,1,15,0.5672,6
1974,1,16,0.5001,6
1974,1,17,0.4331,7
1974,1,18,0.3661,7
1974,1,19,0.299,7
1974,1,20,0.232,7
1974,1,21,0.1649,7
1974,1,22,0.0979,0
1974,1,23,0.0308,0
1974,1,24,0.0363,0
1974,1,25,0.1035,0
1974,1,26,0.1707,1
1974,1,27,0.2378,1
1974,1,28,0.305,1
1974,1,29,0.3722,1
1974,1,30,0.4394,2
1974,1,31,0.5065,2
1974,2,1,0.5737,3
1974,2,2,0.6409,3
1974,2,3,0.7081,3
1974,2,4,0.7752,3
1974,2,5,0.8424,3
1974,2,6,0.9096,4
1974,2,7,0.9768,4
1974,2,8,0.956,4
1974,2,9,0.8889,4
1974,2,10,0.8217,5
1974,2,11,0.7545,5
1974,2,12,0.6873,5
1974,2,13,0.6202,6
1974,2,14,0.553,6
1974,2,15,0.4858,6
1974,2,16,0.4186,7
1974,2,17,0.3515,7
1974,2,18,0.2843,7
1974,2,19,0.2171,7
1974,2,20,0.1499,7
1974,2,21,0.0827,0
1974,2,22,0.0156,0
1974,2,23,0.0518,0
1974,2,24,0.1192,0
1974,2,25,0.1867,1
1974,2,26,0.2541,1
1974,2,27,0.3215,1
1974,2,28,0.389,2
1974,3,1,0.4564,2
1974,3,2,0.5238,2
1974,3,3,0.5913,3
1974,3,4,0.6587,3
1974,3,5,0.7261,3
1974,3,6,0.7935,3
1974,3,7,0.861,3
1974,3,8,0.9284,4
1974,3,9,0.9958,4
1974,3,10,0.9367,4
1974,3,11,0.8693,5
1974,3,12,0.8019,5
1974,3,13,0.7344,5
1974,3,14,0.667,5
1974,3,15,0.5996,6
1974,3,16,0.5321,6
1974,3,17,0.4647,7
1974,3,18,0.3973,7
1974,3,19,0.3298,7
1974,3,20,0.2624,7
1974,3,21,0.195,7
1974,3,22,0.1276,7
1974,3,23,0.0601,0
1974,3,24,0.0073,0
1974,3,25,0.0751,0
1974,3,26,0.1428,1
1974,3,27,0.2105,1
1974,3,28,0.2782,1
1974,3,29,0.3459,1
1974,3,30,0.4136,2
1974,3,31,0.4813,2
1974,4,1,0.549,3
1974,4,2,0.6168,3
1974,4,3,0.6845,3
1974,4,4,0.7522,3
1974,4,5,0.8199,3
1974,4,6,0.8876,4
1974,4,7,0.9553,4
1974,4,8,0.977,4
1974,4,9,0.9093,4
1974,4,10,0.8415,5
1974,4,11,0.7738,5
1974,4,12,0.7061,5
1974,4,13,0.6384,5
1974,4,14,0.5707,6
1974,4,15,0.503,6
1974,4,16,0.4353,7
1974,4,17,0.3676,7
1974,4,18,0.2998,7
1974,4,19,0.2321,7
1974,4,20,0.1644,7
1974,4,21,0.0967,0
1974,4,22,0.029,0
1974,4,23,0.0389,0
1974,4,24,0.1068,0
1974,4,25,0.1748,1
1974,4,26,0.2427,1
1974,4,27,0.3107,1
1974,4,28,0.3787,2
1974,4,29,0.4466,2
1974,4,30,0.5146,2
1974,5,1,0.5825,3
1974,5,2,0.6505,3
1974,5,3,0.7185,3
1974,5,4,0.7864,3
1974,5,5,0.8544,3
1974,5,6,0.9223,4
1974,5,7,0.9903,4
1974,5,8,0.9417,4
1974,5,9,0.8738,5
1974,5,10,0.8058,5
1974,5,11,0.7379,5
1974,5,12,0.6699,5
1974,5,13,0.6019,6
1974,5,14,0.534,6
1974,5,15,0.466,7
1974,5,16,0.3981,7
1974,5,17,0.3301,7
1974,5,18,0.2621,7
1974,5,19,0.1942,7
1974,5,20,0.1262,7
1974,5,21,0.0582,0
1974,5,22,0.0097,0
1974,5,23,0.0779,0
1974,5,24,0.146,1
1974,5,25,0.2142,1
1974,5,26,0.2823,1
1974,5,27,0.3505,1
1974,5,28,0.4186,2
1974,5,29,0.4868,2
1974,5,30,0.5549,3
1974,5,31,0.6231,3
1974,6,1,0.6912,3
1974,6,2,0.7594,3
1974,6,3,0.8275,3
1974,6,4,0.8957,4
1974,6,5,0.9638,4
1974,6,6,0.9681,4
1974,6,7,0.8999,4
1974,6,8,0.8318,5
1974,6,9,0.7636,5
1974,6,10,0.6955,5
1974,6,11,0.6273,5
1974,6,12,0.5592,6
1974,6,13,0.491,6
1974,6,14,0.4229,7
1974,6,15,0.3547,7
1974,6,16,0.2866,7
1974,6,17,0.2184,7
1974,6,18,0.1503,7
1974,6,19,0.0821,0
1974,6,20,0.014,0
1974,6,21,0.0542,0
1974,6,22,0.1225,0
1974,6,23,0.1908,1
1974,6,24,0.259,1
1974,6,25,0.3273,1
1974,6,26,0.3956,2
1974,6,27,0.4638,2
1974,6,28,0.5321,3
1974,6,29,0.6003,3
1974,6,30,0.6686,3
1974,7,1,0.7369,3
1974,7,2,0.8051,3
1974,7,3,0.8734,3
1974,7,4,0.9416,4
1974,7,5,0.9901,4
1974,7,6,0.9218,4
1974,7,7,0.8536,5
1974,7,8,0.7853,5
1974,7,9,0.7171,5
1974,7,10,0.6488,5
1974,7,11,0.5805,6
1974,7,12,0.5123,6
1974,7,13,0.444,7
1974,7,14,0.3757,7
1974,7,15,0.3075,7
1974,7,16,0.2392,7
1974,7,17,0.171,7
1974,7,18,0.1027,0
1974,7,19,0.0344,0
1974,7,20,0.0338,0
1974,7,21,0.1021,0
1974,7,22,0.1704,1
1974,7,23,0.2387,1
1974,7,24,0.307,1
1974,7,25,0.3753,2
1974,7,26,0.4436,2
1974,7,27,0.5118,2
1974,7,28,0.5801,3
1974,7,29,0.6484,3
1974,7,30,0.7167,3
1974,7,31,0.785,3
1974,8,1,0.8533,3
1974,8,2,0.9216,4
1974,8,3,0.9899,4
1974,8,4,0.9419,4
1974,8,5,0.8736,5
1974,8,6,0.8053,5
1974,8,7,0.737,5
1974,8,8,0.6687,5
1974,8,9,0.6004,6
